state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases,geocoded_state
DE,,,state,2020/06/15,Manufacturing,start,"Policy_Details: Governor Carney announced Phase 2 of Delaware's reopening will begin June 15, 2020
INDIVIDUAL GUIDELINES
-Cloth coverings must be worn
-Non-household members must maximize social distancing
-All individuals in public (parks, outdoor recreation areas, shopping, etc) must social distance
-Indoor gathering limit: 50 people but social distance from non-household members
-Places operating at 30% occupancy under Phase 1 can move to 60% occupancy 
-Exercise facilities and personal care services (hair, tanning, tattoo, massage, nail, brow, spas) to remain at 30% occupancy
-Fully unenclosed outdoor gatherings of up to 250 people are permitted
-Leisure travel should be avoided but may resume under general guidance
-All vulnerable individuals should continue to shelter in place
BUSINESS GUIDELINES
-Common areas where people can congregate must remain closed
-Employees/customers have responsibility to self-quarantine if they think they may be sick
-Teleworking is encouraged
-All surfaces touched by customers must be disinfected by EPA-approved disinfectant every 15 minutes to 2 hours 
-Employees required to go to work should perform daily health work 
-All employees must wash hands throughout the day and use hand sanitizer and social distance from other employees
-Businesses must make hand sanitizer available to employees and patrons (hand sanitizer must be 60% ethanol and 70% isopropanol 
-Downtime should be given between shifts and after closing for cleaning 
-Employees must post signs about how to stop spread of COVID-19, hand hygiene, and wear a face covering  Phase Level: 2, Phase Details Source information: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf",sip_submission_form: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf,,POINT (-75.452394 38.994926)
IA,,,state,2020/06/12,Gyms,start,Policy_Details: Social Distancing   Source information: https://quincy-network.s3.ca-central-1.amazonaws.com/wp-content/uploads/sites/4/2020/06/Iowa-Public-Health-Proclamation-2020.06.10-50-capacity-lifted.pdf,sip_submission_form: https://quincy-network.s3.ca-central-1.amazonaws.com/wp-content/uploads/sites/4/2020/06/Iowa-Public-Health-Proclamation-2020.06.10-50-capacity-lifted.pdf,,POINT (-93.500061 42.074659)
MS,Hinds,28049,county,2020/07/13,Entertainment,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,,POINT (-89.65344 32.713378)
AZ,,,state,2020/05/16,Houses of Worship,start,"Policy_Details: All businesses are open but must establish and implement policies based on CDC guidance including: hygiene, intensify cleaning, physical distancing, protective equipment, limiting to 10 people when feasible. Phase Level: 1, Phase Details Source information: https://azgovernor.gov/sites/default/files/executive_order_2020-36_return_stronger.pdf",sip_submission_form: https://azgovernor.gov/sites/default/files/executive_order_2020-36_return_stronger.pdf,,POINT (-111.664616 34.293239)
IL,Hamilton,17065,county,2021/01/15,Outdoor and Recreation,start,Policy_Details: - All outdoor recreation allowed   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
UT,Davis,49011,county,2020/11/24,Food and Drink,start,"Policy_Details: - Masks required
- 6’ between parties at all times (including waiting areas and when seated)
- No alcohol sales later than 10 p.m.
   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/",sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
PA,,,state,2020/07/01,Phase 2,start,"Policy_Details: Pennsylvania Secretary of Health Dr. Rachel Levine signed order that requires masks to be worn whenever someone leaves their residence Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-signs-expanded-mask-wearing-order/",sip_submission_form: https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-signs-expanded-mask-wearing-order/,,POINT (-77.838886 40.896694)
IA,,,state,2020/05/28,Childcare (K-12),start,"Policy_Details: 50% capacity Phase Level: 2, Phase Details Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf",sip_submission_form: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf,,POINT (-93.500061 42.074659)
IN,Lake,18089,county,2020/05/11,Phase 2,start,"Policy_Details: phase 2 begins in  Lake County Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",sip_submission_form: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf,5,POINT (-86.2818 39.919991)
IN,,,state,2020/05/04,Phase 2,start,"Policy_Details: manufacturering & industrial operations, public libraries, retail & commercial businesses open at 50% capacity (shopping mall) indoor common areas open at 25% capacity) Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",sip_submission_form: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf,5,POINT (-86.2818 39.919991)
CA,Ventura,06111,county,2020/11/16,Food and Drink,start,Policy_Details: Restaurants and bars/breweries may only operate with outdoor seating   Source information: https://www.venturacountyrecovers.org/coronavirus-latest-news-updates/,sip_submission_form: https://www.venturacountyrecovers.org/coronavirus-latest-news-updates/,,POINT (-119.662127 37.211164)
OH,Henry,39069,county,2020/07/23,Public Health Advisory System,start,"Policy_Details: counties upgraded to Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,,POINT (-82.70936 40.415534)
UT,Garfield,49017,county,2020/11/23,Phase 1,start,Policy_Details: Restrictions for highest level of transmission   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/,sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
ID,,,state,2020/05/01,Non-Essential Businesses,start,"Policy_Details: ""Indoor gyms and recreation facilities remain closed, develop plans for reopening and ability to meet protocol business protocols in order to open in stage 2.  Hair salons remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.  	Large venues (e.g., movie theaters and sporting venues) are closed.    Restaurants dining rooms remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.    Bars and nightclubs remain closed.""   Source information: https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf",sip_submission_form: https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf,,POINT (-114.659366 44.389073)
OR,,,state,2020/05/15,Non-Essential Businesses,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",sip_submission_form: https://govstatus.egov.com/reopening-oregon#phase1,,POINT (-120.605279 43.940449)
IL,Livingston,17105,county,2021/01/15,Food and Drink,start,Policy_Details: Bars and restaurants: Open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
MO,,,state,2021/03/26,Mask Requirement,start,Policy_Details: masks are still recommended    Source information: https://showmestrong.mo.gov/faq/,sip_submission_form: https://showmestrong.mo.gov/faq/,,POINT (-92.477244 38.3675)
ID,Elmore,16039,county,2020/10/27,Childcare (K-12),start,Policy_Details: Minimal use of school buildings and limited in-person instruction unless otherwise recommended by Central District Health.   Source information: https://www.cdhd.idaho.gov/dac-coronavirus-schools.php,sip_submission_form: https://www.cdhd.idaho.gov/dac-coronavirus-schools.php,4,POINT (-114.659366 44.389073)
IL,Putnam,17155,county,2021/01/15,Childcare (K-12),start,"Policy_Details: -  P-12 schools, higher education, all summer programs, and child care open with IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4",sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
CA,,,state,2020/05/08,Phase 2,start,"Policy_Details: Governor’s Report Card indicates California will be prepared to move into the early phase of Stage 2 of reopening this Friday, May 8 Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications Governor also announces new framework to allow counties to move more quickly through Stage 2 if they attest that they meet the state’s readiness criteria  Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",sip_submission_form: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf,,POINT (-119.662127 37.211164)
MI,Cheboygan,26031,county,2020/07/31,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",,POINT (-85.730977 44.874798)
MS,Noxubee,28103,county,2020/12/11,Mask Requirement,start,Policy_Details: Masks must be worn indoors in public places when a distance of six feet cannot be maintained between groups from different households.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,,POINT (-89.65344 32.713378)
CT,,,state,2020/08/10,Election,start,Policy_Details: electors are eligible to vote by absentee ballot due to COVID-19   Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7MMM.pdf,sip_submission_form: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7MMM.pdf,,POINT (-72.738288 41.575155)
TX,Scurry County,48415,county,2020/03/27,Shelter in Place,start,Scurry County Policy Start,wikidata,,POINT (-99.317341 31.447238)
RI,,,state,2020/06/02,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-71.534637 41.572574)
IL,,,state,2020/05/01,Manufacturing,start,"Policy_Details: essential manufacturing only  Phase Level: 2, Phase Details Source information: https://coronavirus.illinois.gov/sfc/servlet.shepherd/document/download/069t000000BadS0AAJ?operationContext=S1",sip_submission_form: https://coronavirus.illinois.gov/sfc/servlet.shepherd/document/download/069t000000BadS0AAJ?operationContext=S1,5,POINT (-89.148632 40.124144)
ND,Pembina,38067,county,2020/09/03,Phase 5,start,"Policy_Details: - Most normal activity can resume, with standard precautions and awareness of health
guidelines such as routine hand washing, stay home when sick, cover your cough, education, stockpiling, planning, routine health alerts, etc. 
- Monitoring for illness and outbreaks will continue. 
- Those found to be ill will be asked to self-isolate and contacts will be asked to remain at home.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
IL,Richland,17159,county,2021/01/15,Outdoor and Recreation,start,Policy_Details: - All outdoor recreation allowed   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
ND,Williams,38105,county,2020/09/03,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo)
- Personal care services may consider opening.
- Operate under strict hygiene protocols.
- No food and beverage should be served.
- Masks and social distancing required.
Retail
- Employers exercise extreme caution, with employees working remotely when possible. 
- On-site work pre-screen and monitor employees for symptoms. 
- Masks and social distancing required.

   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
VT,,,state,2020/03/20,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-72.662695 44.075252)
MS,Quitman,28119,county,2020/07/13,Day Care,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,,POINT (-89.65344 32.713378)
PA,Perry,42099,county,2020/06/19,Phase 2,start,"Policy_Details: Perry County enters the green phase on June 19  Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/",sip_submission_form: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/,,POINT (-77.838886 40.896694)
MI,Kalkaska,26079,county,2020/07/31,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 6 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",,POINT (-85.730977 44.874798)
IL,Franklin,17055,county,2021/01/15,Food and Drink,start,Policy_Details: Bars and restaurants: Open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
IL,Alexander,17003,county,2021/01/15,Day Care,start,Policy_Details: - all day cares open with IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
OR,Lane,41039,county,2020/05/15,New Phase,start,"Policy_Details: Gatherings up to 25 people allowed. Restaurants and bars with limited sit down service allowed. Personal care with precautions allowed. Personal care with caution allowed. Phase Level: 1, Phase Details Source information: https://www.eugene-or.gov/4351/Reopening-Oregon",sip_submission_form: https://www.eugene-or.gov/4351/Reopening-Oregon,,POINT (-120.605279 43.940449)
AK,Anchorage,02020,county,2020/04/27,Houses of Worship,start,"Policy_Details: Outdoor religious gatherings are limited to 20 people.
If singing or projecting of voice, then a minimum of 10 feed between is person must be
maintained.
Physical distancing of at least 6 feet must be maintained between individuals and groups
of non-household members.
   Source information: https://covid-response-moa-muniorg.hub.arcgis.com/pages/emergency-orders",sip_submission_form: https://covid-response-moa-muniorg.hub.arcgis.com/pages/emergency-orders,,POINT (-151.631889 63.631126)
UT,Summit,49043,county,2020/11/24,Phase 1,start,Policy_Details: Restrictions for highest level of transmission   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/,sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
WY,,,state,2020/05/15,Outdoor and Recreation,start,Policy_Details: Ease restrictions on several business categories   Source information: https://health.wyo.gov/restrictions-ease-under-updated-public-health-orders/Source,sip_submission_form: https://health.wyo.gov/restrictions-ease-under-updated-public-health-orders/Source,,POINT (-107.55145 42.999627)
TN,Montgomery County,47125,county,2020/04/01,Shelter in Place,start,Montgomery County Policy Start,wikidata,,POINT (-86.343226 35.842998)
CT,,,state,2020/03/19,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-72.738288 41.575155)
NY,,,state,2020/03/15,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open",BU COVID-19 State Policy Database,,POINT (-75.59655 42.921241)
AZ,,,state,2020/03/11,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-111.664616 34.293239)
TX,Archer,48009,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
UT,Millard,49027,county,2020/11/24,Mask Requirement,start,Policy_Details: Masks required    Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/,sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
ID,Twin Falls,16083,county,2020/10/27,Food and Drink,start,Policy_Details: Restaurants offer seating only services. Nightclubs can only operate as a bar.    Source information: https://twinfallscounty.org/wp-content/uploads/stay-healthy-order-stage3_2020oct27-1.pdf,sip_submission_form: https://twinfallscounty.org/wp-content/uploads/stay-healthy-order-stage3_2020oct27-1.pdf,4,POINT (-114.659366 44.389073)
NY,Bronx,36005,county,2020/06/08,Wholesale Trade,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://coronavirus.health.ny.gov/home",sip_submission_form: https://coronavirus.health.ny.gov/home,,POINT (-75.59655 42.921241)
UT,Carbon,49007,county,2020/09/11,Day Care,start,"Policy_Details: -	No restrictions on group sizes
-	No restrictions on handling food
   Source information: https://coronavirus-download.utah.gov/Health/Utah_Phased_Guidelines_.pdf",sip_submission_form: https://coronavirus-download.utah.gov/Health/Utah_Phased_Guidelines_.pdf,4,POINT (-111.678222 39.323779)
SC,,,state,2020/05/22,Entertainment,start,"Policy_Details: On May 22, many attractions, including zoos, museums, aquariums, planetariums, water parks and amusement park rides, reopened with additional physical distancing guidelines.   Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",sip_submission_form: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/,,POINT (-80.864614 33.878572)
CO,,,state,2020/07/09,Phase 3,start,"Policy_Details: Governor Polis issued Executive Order D 2020 127 that presents eight criteria that local communities must be able to meet before moving to the next phase, Protect Our Neighbors Phase Level: 3, Phase Details Source information: https://www.colorado.gov/governor/2020-executive-orders",sip_submission_form: https://www.colorado.gov/governor/2020-executive-orders,,POINT (-105.547832 38.998552)
IL,Stark,17175,county,2021/01/15,Phase 4,start,"Policy_Details: To prepare businesses and employers to implement new and updated safety guidelines in Phase 4, the State of Illinois has developed this business toolkit complete with signage, posters, and other resources to ensure business and activities are conducted in accordance with the latest public health recommendations. See an overview of the Phase 4 changes here  https://dceocovid19resources.com/restore-illinois/restore-illinois-phase-4/   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4",sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
AZ,La Paz,04012,county,2020/08/27,Non-Essential Businesses,start,"Policy_Details: Water parks and tubing operators in Apache, Cochise, Coconino, La Paz, Maricopa, Navajo, Pima and Yavapai counties may attest to reopen in compliance with ADHS COVID-19 Guidelines including operating at 50 percent occupancy.   Source information: https://www.azcommerce.com/covid-19/business-guidance/reopening-guidance-water-parks-tubing/",sip_submission_form: https://www.azcommerce.com/covid-19/business-guidance/reopening-guidance-water-parks-tubing/,2,POINT (-111.664616 34.293239)
IL,,,state,2021/02/04,Mask Requirement,start,Policy_Details: Masks: Everyone over the age of two who can medically tolerate it to wear a face covering is required to so when in a public space and unable to maintain six feet of distance from others.   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,,POINT (-89.148632 40.124144)
UT,Kane,49025,county,2020/11/24,Food and Drink,start,"Policy_Details: - Masks required
- 6’ between parties at all times (including waiting areas and when seated)
- No alcohol sales later than 10 p.m.
   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/",sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
TX,Wilbarger,48487,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
TX,Oldham,48359,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
NE,,,state,2020/07/06,Day Care,start,"Policy_Details: ""Infants to 3 year old – 15 children per room/space
3 year olds – 20 children per room/space
4-5 year olds – 24 children per room/space
School-age children (K-12) – 30 children per room/space""   Source information: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-III.pdf",sip_submission_form: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-III.pdf,4,POINT (-99.810595 41.527099)
