,Domain,BF,FC,MBFC,MBFC factual,PF,WI,Site Rank,✓s,Wiki,Name
61,baldwintimes.com,,,FN,M,,,20000000,,,Baldwin Times
62,banned.video,,,CP,VL,,,8218,,,Banned.Video
63,barenakedislam.com,,,FN,L,,,122795,,,Bare Naked Islam
64,basnews.com,,,FN,M,,,20000000,,,Basnews Agency
65,bb4sp.com,,,FN,L,fake-news,,487623,,,BB4SP
66,bdnews24.com,,,FN,M,,,1913,,W,BDNews24
67,bebest.website,1,,,,,,3088170,,,Be Best Website
68,beforeitsnews.com,,,FN,L,fake-news,1,16416,,W,Before It's News
69,beholdisrael.org,,,CP,M,,,451662,,,Behold Israel
70,benjaminfulford.typepad.com,,,,,fake-news,,1303795,,,BenjaminFulford
71,biggovernment.news,,,CP,VL,,,3877485,,W,Big Government News
72,bigleaguepolitics.com,,,FN,L,,,88039,,W,Big League Politics
73,billionbibles.org,,,FN,VL,,,943925,,,BillionBibles.org
74,biodefense.com,,,CP,VL,,,20000000,,,BioDefense
75,biologos.org,,,CP,M,,,250459,,W,Biologos Foundation
76,bipartisanreport.com,,,FN,M,,,135565,,,Bipartisan Report
77,bitchute.com,,,FN,VL,,,2060,,W,BitChute
78,blackeyepolitics.com,,,FN,L,,,648994,,,Black Eye Politics
79,blackgenocide.org,,,FN,L,,,3251119,,,Black Genocide
80,blacklistednews.com,,,CP,M,,,59268,,,Blacklisted News
81,blacknews.com,,,FN,M,,,227541,,,BlackNews.com
82,blingnews.com,,1,FN,L,,,3966576,,,Blingnews.com
83,bluntforcetruth.com,,,FN,L,,,430699,,,Blunt Force Truth
84,bongino.com,,,FN,M,,,76865,,W,Bongino.com
85,bossip.com,,,FN,M,,,31982,,W,Bossip
86,bostonleader.com,1,,,,parody,,20000000,,,Boston Leader
87,breaking911.com,,,FN,VL,,,107352,,,Breaking911
88,breakingchristiannews.com,,,FN,L,,,850195,,,Breaking Christian News
89,breakingfirst.com,,,FN,L,,,1098222,,,Breaking First
90,breakingnews247.net,1,,,,imposter,,577109,,,Breakingnews247.net
91,breakingnews365.net,1,,,,imposter,,971245,,,Prank your friends!
92,breakingwide.com,,,FN,M,,,5824733,,,Breaking Wide
93,breitbart.com,,,FN,M,,,311,,W,Breitbart
94,brightside.me,,,CP,M,,,4170,,,BrightSide
95,buffalochronicle.com,,,FN,M,,,1050268,,,The Buffalo Chronicle
96,bugout.news,,,CP,VL,,,20000000,,W,Bugout.news
97,burrardstreetjournal.com,1,,S,,,,180706,,,Burrard Street
98,bvanews.com,,,,,,1,20000000,,W,BVA News
99,cair.com,,,FN,M,,,421183,,W,Council for American-Islamic Relations (CAIR)
100,caixinglobal.com,,,FN,M,,,99673,,W,Caixin Global
101,caldronpool.com,,,FN,M,,,292368,,W,Caldron Pool
102,campusinsanity.com,,,CP,VL,,,20000000,,W,CampusInsanity
103,canadafreepress.com,,,FN,L,,,136099,,,Canada Free Press
104,cancer.news,,,CP,VL,,,20000000,,W,Cancer.news
105,cannasos.com,,,,,some-fake,,177513,,,CannaSOS.com
106,cap-news.com,,,FN,VL,,,7164955,,,Cap News
107,carm.org,,,CP,L,,,91110,,W,Christian Apologetics & Research Ministry (CARM)
108,catholic.org,,,CP,M,,,25219,,,Catholic Online
109,cei.org,,,FN,L,,,341823,,W,Competitive Enterprise Institute
110,censored.news,,,FN,L,,,341119,,,Censored.news
111,centerforsecuritypolicy.org,,,FN,M,,,553149,,W,Center for Security Policy
112,cernovich.com,,,FN,M,,,326066,,,Cerno (Cernovich.com)
113,cfact.org,,,CP,L,,,538026,,W,The Committee for a Constructive Tomorrow (CFACT)
114,channel18news.com,1,,,,imposter,,17745559,,,Channel 18 News
115,channel22news.com,1,,,,,,1995169,,,Create A Prank
116,channel23news.com,1,1,,,,,3744426,,,Prank Generator
117,channel24news.com,1,,,,imposter,,522442,,,Create A Prank
118,channel28news.com,1,,,,,,2058792,,,Prank Generator - Channel28News.com
119,channel33news.com,1,,,,,,20000000,,,Channel 33 News
120,channel34news.com,1,,,,,,1768544,,,Create A Prank!
121,channel40news.com,1,,,,,,6932065,,,Create A Prank
122,channel45news.com,1,,,,,,818010,,,Create A Prank News Article!
123,channel46news.com,1,,,,,,7072690,,,Channel 46 News
124,charismanews.com,,,CP,M,,,72325,,,Charisma News
125,childrenshealthdefense.org,,,CP,L,,,78475,,W,Children's Health Defense
126,chinadaily.com.cn,,,FN,M,,,350,,W,China Daily
127,chlorellafactor.com,,,CP,VL,,,20000000,,W,Chlorella Factor
128,christianaction.org,,,FN,L,,,500176,,W,Christian Action Network
129,christianscience.com,,,CP,L,,,178497,,W,Christian Science
130,churchmilitant.com,,,FN,M,,,62430,,,Church Militant
131,cityworldnews.com,,,FN,VL,,,16006975,,,CityWorldNews
132,clarionproject.org,,,FN,L,,,208275,,W,Clarion Project
133,clashdaily.com,,,FN,L,fake-news,,160053,,,Clash Daily
134,climate.news,,,FN,VL,,,5384066,,W,Climate.News
135,climatechangedispatch.com,,,CP,L,,,782598,,,Climate Change Dispatch
136,climatedepot.com,,,CP,M,,,194394,,,Climate Depot
137,climatism.blog,,,CP,L,,,1160373,,,Climatism
138,cloverchronicle.com,,,FN,L,,,1065138,,,Clover Chronicle
139,cnn-globalnews.com,1,,FN,VL,,,20000000,,,cnn-globalnews.com
140,cnoticias.net,1,,,,,,6761342,,,Faça sua piada de maneira rápida!
141,cnsnews.com,,,FN,L,,,33402,,W,CNS News
142,coasttocoastam.com,,,CP,L,,,22966,,W,Coast to Coast AM
143,collapse.news,,,CP,VL,,,2494406,,W,Collapse.News
144,collective-evolution.com,,,CP,L,,,24058,,,Collective Evolution
145,concernedwomen.org,,,FN,L,,,1264653,,W,Concerned Women for America
146,consciouslifenews.com,,,CP,M,,,220946,,,Conscious Life News
147,conservapedia.com,,,FN,M,,,117145,,W,Conservapedia
148,conservativeammo.com,,,FN,L,,,2874905,,,Conservative Ammo
149,conservativeangle.com,,1,,,,,1014393,,,Conservative Angle
150,conservativebeaver.com,,,FN,VL,,,20000000,,,Conservative Beaver
151,conservativedailypost.com,,,FN,L,fake-news,,52389,,,Conservative Daily Post
152,conservativefiringline.com,,,FN,M,,,264618,,,Conservative Firing Line
153,conservativefreepress.com,,,FN,L,,,498141,,,Conservative Free Press
154,conservativefrontline.com,,,,,,1,6013622,,W,Conservative Frontline
155,conservativepapers.com,,,FN,M,,,3996576,,,The Conservative Papers
156,conservativepost.com,,1,FN,L,,,775568,,,Conservative Post
157,conspiracydailyupdate.com,,,CP,L,,,376327,,,Conspiracy Daily Update
158,consumerwellness.org,,,CP,VL,,,4350479,,,Consumer Wellness Center
159,corbettreport.com,,,CP,L,,,93466,,,The Corbett Report
160,cosmicintelligenceagency.com,,,CP,L,,,237380,,,Cosmic Intelligence Agency
161,counterpsyops.com,,,CP,M,,,8299903,,,CounterPsyOps
162,counterthink.com,,,CP,VL,,,6181565,,W,CounterThink.com
163,creation.com,,,CP,L,,,55961,,,Christian Ministries International
164,csglobe.com,,,CP,L,,,1263204,,,CS Globe
165,curiousmindmagazine.com,,,CP,L,,,122023,,,Curious Mind Magazine
166,daily-vine.com,,1,,,,,5097256,,,Daily Vine
167,dailybuzzlive.com,,,FN,VL,fake-news,1,1425259,,W,Daily Buzz Live
168,dailygrail.com,,,CP,M,,,724153,,,Daily Grail
169,dailyheadlines.net,,,FN,L,,,428808,,,Daily Headlines
170,dailyhealthpost.com,,,CP,L,,,142158,,,DailyHealthPost
171,dailyoccupation.com,,,CP,L,,,722179,,,Daily Occupation
172,dailypoliticalnewswire.com,,,FN,M,,,352105,,,Daily Political Newswire
173,dailystar.co.uk,,,FN,M,,,3185,,,Daily Star UK
174,dailysurge.com,,,R,M,fake-news,,16209212,,,Daily Surge
175,dailyworldupdate.us,1,,S,,,,932265,,,Daily World Update
176,darkjournalist.com,,,CP,L,,,764232,,,Dark Journalist
177,dataasylum.com,,,CP,L,,,2507356,,,Data Asylum
178,davidharrisjr.com,,,FN,L,,,164309,,,David Harris Jr
179,davidicke.com,,,CP,VL,,,36009,,,David Icke
180,davidwolfe.com,,,CP,M,,,78507,,W,David Wolfe
181,dcbluedot.com,,,FN,M,,,20000000,,,DC Blue Dot
182,dcclothesline.com,,,FN,L,,,144327,,,The DC Clothesline
183,dcdirtylaundry.com,,,FN,VL,,,78280,,,DC Dirty Laundry
184,dcgazette.com,,,FN,L,,1,3708726,,W,DC Gazette
185,debka.com,,,FN,M,,,35567,,W,DEBKAfile
186,decaturtimes.com,,,FN,M,,,2310667,,,Decatur Times
187,deepleftfield.info,,,FN,M,,,613479,,,Deep Left Field
188,defiantamerica.com,,,FN,L,,,2691233,,,Defiant America
189,democraticunderground.com,,,L,M,fake-news,,19913,,W,Democratic Underground
190,democrats.org,,,FN,M,,,20000000,,W,Democratic National Committee
191,deplorablekel.com,,,FN,L,,,467402,,,Deplorable Kel
192,digifection.com,,,FN,L,,,658363,,,The Times of America
193,disclose.tv,,,CP,L,fake-news,1,27647,,W,Disclose TV
194,discoverthenetworks.org,,,FN,L,,,689724,,W,Discover the Networks
195,discovery.org,,,CP,L,,,393423,,W,Discovery Institute
196,disobedientmedia.com,,,CP,M,,,20000000,,,Disobedient Media
197,distributednews.com,,,CP,VL,,,138257,,,Hang The Censors
198,djhjmedia.com,,,FN,L,,,37321,,,BitChute
199,dnyuz.com,,,FN,M,,,30995,,,Dnyuz
200,doctoroz.com,,,CP,M,,,52098,,W,DoctorOz.com (Dr. Oz)
201,draxe.com,,,CP,M,,,12077,,,Dr. Axe
202,earthpulse.com,,,CP,L,,,3286750,,,Earthpulse Press
203,ecalabamanews.com,,,FN,M,,,20000000,,,East Central Alabama News
204,ecology.news,,,CP,VL,,,4189190,,W,Ecology News
205,economictimes.indiatimes.com,,,FN,M,,,131,,W,The Economic Times
206,educate-yourself.org,,,CP,VL,,,189941,,,Educate Yourself
207,educateinspirechange.org,,,CP,M,,,294654,,,Educate Inspire Change
208,electroverse.net,,,CP,L,,,335147,,,Electroverse
209,eluxemagazine.com,,,CP,M,,,191922,,,Eluxe Magazine
210,emirates247.com,,,FN,M,,,128214,,W,Emirates 24/7
211,empireherald.com,1,,FN,L,imposter,1,15343499,,W,Empire Herald
212,empirenews.net,1,1,S,,parody,1,498926,,W,Empire News
213,empiresports.co,1,,S,,parody,1,4026928,,W,Empire Sports News
214,en-bref.fr,1,,,,,,7480299,,,Fais une blague et piège tous tes amis.
215,en-volve.com,,1,FN,VL,fake-news,,326775,,,En-volve
216,en.mediamass.net,1,,,,,,37098,,,MediaMass
217,en.mehrnews.com,,,FN,M,,,820,,W,Mehr News Agency
218,en.metapedia.org,,,FN,L,,,60690,,W,Metapedia
219,en.newsner.com,,,FN,VL,,,60852,,,Newsner
220,endthefed.org,,,FN,L,,,1917909,,,End the Fed
221,eng.majalla.com,,,FN,M,,,278283,,W,The Majalla
222,english.alarabiya.net,,,FN,M,,,2345,,W,Al Arabiya
223,english.cctv.com,,,FN,M,,,3048,,W,CCTV International
224,escapeallthesethings.com,,,CP,L,,,1117542,,,Escape all these Things
225,eugenics.news,,,CP,VL,,,4619005,,,Eugenics.News
226,eutimes.net,,,CP,M,,,746635,,,The European Union Times
227,everylegalvote.com,,,FN,L,,,61873,,,Every Legal Vote
228,everytown.org,,,FN,M,,,366221,,W,Everyday for Gun Safety
229,evil.news,,,FN,L,,,9016680,,W,Evil.News
230,evolutionnews.org,,,CP,L,,,147408,,,Evolution News and Views
231,ewg.org,,,CP,M,,,26761,,,Environmental Working Group (EWG)
232,explainlife.com,,,FN,VL,,,240818,,,Explain Life
233,extraordinaryinfo.com,,,CP,M,,,20000000,,,Extraordinary News
234,fabiosa.com,,,CP,M,,,204983,,,Fabiosa
235,factcheckingturkey.com,,,FN,M,,,6994900,,,Fact Checking Turkey
236,factswanted.com,,,FN,M,,,9932405,,,Facts Wanted
237,fairus.org,,,FN,L,,,149084,,W,The Federation for American Immigration Reform
238,faithit.com,,,CP,M,,,182695,,,Faithit
239,faithpanda.com,,,CP,M,,,743721,,,FaithPanda
240,familysurvivalheadlines.com,,,FN,M,,,4880857,,,Family Survival Headlines
241,fellowshipoftheminds.com,,1,CP,L,,,109424,,,Fellowship of the Minds
242,femalista.com,,,FN,M,,,734753,,,Femalista
243,filmingcops.com,,,FN,M,,,1751997,,,Filming Cops
244,firstpost.com,,,RC,MF,some-fake,,1691,,,First Post
245,flagandcross.com,,,FN,M,,,20000000,,,Flag & Cross
246,focusonthefamily.com,,,FN,L,,,33829,,W,Focus on the Family
247,food.news,,,CP,VL,,,2704667,,W,Food.News
248,foodbabe.com,,,CP,M,,,150530,,W,Food Babe
249,foodmatters.com,,,CP,M,,,105894,,W,Food Matters
250,foreverconscious.com,,,CP,L,,,189774,,,Forever Conscious
251,fortherightnews.com,,,FN,L,,,4561531,,,For the Right News
252,foxnews-us.com,1,,,,,,20000000,,,FoxNews-Us
253,frc.org,,,FN,L,,,171433,,W,Family Research Council
254,freedom.news,,,CP,VL,,,20000000,,W,Freedom.News
255,freedomadvocates.org,,,CP,L,,,5095191,,,Freedom Advocates
256,freedomainradio.com,,,CP,M,,,332816,,W,Freedomain Radio
257,freedomdaily.com,,,FN,L,fake-news,,8199533,,,Freedom Daily
258,freedomnewsreport.com,,,FN,M,,,687681,,,Freedom News Report
259,freeinfomedia.com,,,,,fake-news,,17756656,,,FI Article Marketing
260,freerepublic.com,,,R,M,some-fake,,21575,,W,Free Republic
261,freetelegraph.com,,,FN,M,,,14254667,,W,The Free Telegraph
262,freewoodpost.com,1,,S,,parody,,3000587,,W,Free Wood Post
263,friatider.se,,,FN,L,,,146672,,,Fria Tider
264,friendsofscience.org,,,CP,M,,,1262721,,W,Friends of Science
265,fromthetrenchesworldreport.com,,,CP,L,,,361089,,,From the Trenches World Report
266,front.moveon.org,,,FN,M,,,43140,,W,MoveOn
267,frontpagemag.com,,,FN,L,,,53181,,W,FrontPage Magazine
268,fury.news,,,FN,VL,,,7548165,,,Fury News
269,gadsdentoday.com,,,FN,M,,,20000000,,,Gadsden Today
270,gaia.com,,,CP,L,,,18355,,,Gaia
271,gatestoneinstitute.org,,,FN,M,,,50930,,W,Gatestone Institute
272,gellerreport.com,,1,FN,L,,,83508,,W,Geller Report
273,geoengineering.news,,,CP,VL,,,20000000,,W,Geoengineering.News
274,geoengineeringwatch.org,,,CP,L,,,218564,,,GeoEngineering Watch
275,geopol.institute,,,FN,L,,,1584225,,,Geopolitical Studies Institute
276,geopolitics.co,,,CP,M,,,165644,,,Covert Geopolitics
277,getholistichealth.com,,,CP,L,,,288994,,,Get Holistic Health
278,ghost.report,,,FN,M,,,2229481,,,Ghost.Report
279,glitch.news,,,CP,VL,,,4703013,,,Glitch.News
280,globalhealingcenter.com,,,CP,M,,,70844,,W,Global Healing Center
281,globalinfotoday.com,,,FN,L,,,20000000,,,Global Info Today
282,globalresearch.ca,,,CP,L,,1,26012,,W,Global Research
283,globalskywatch.com,,,CP,L,,,1422431,,,Global Skywatch
284,globaltimes.cn,,,FN,M,,,33176,,W,Global Times
285,globemagazine.com,,,FN,VL,,,2751943,,,Globe Magazine
286,gmo.news,,,CP,VL,,,20000000,,W,GMO.News
287,gmwatch.org,,,CP,M,,,282877,,,GMWatch
288,gnews.org,,,FN,L,,,22665,,,Gnews
289,godandscience.org,,,CP,L,,,549935,,,Evidence for God from Science
290,godfatherpolitics.com,,,FN,M,,,258003,,,Godfather Politics
291,godlikeproductions.com,,,CP,L,,,12222,,,Godlike Productions
292,goodgopher.com,,,FN,VL,,,413031,,,GoodGopher
293,goop.com,,,CP,L,,,13260,,W,Goop
294,gop.com,,,FN,M,,,20000000,,W,Republican National Committee
295,gop.gov,,,FN,M,,,510971,,W,House Republican Conference
296,gossipmillsa.com,,,,,,1,9091240,,W,Gossip Mill Mzansi
297,gotquestions.org,,,CP,L,,,6153,,,Got Questions
298,govtslaves.com,,,CP,L,,,20000000,,,Government Slaves
299,grainoftruth.ca,,,FN,VL,,,1827170,,,Grain of Truth
300,greanvillepost.com,,,CP,M,,,499040,,,The Greanville Post
301,greatamericandaily.com,,,FN,L,,,282103,,,Great American Daily
302,greatamericanrepublic.com,,,FN,L,,,4166209,,,Great American Republic
303,greenmedinfo.com,,,CP,L,,,55143,,,GreenMedInfo
304,greenpeace.org,,,CP,M,,,20834,,W,Greenpeace
305,greenvillegazette.com,,,L,L,,,3724708,,,Greenville Gazette
306,grunge.com,,,FN,M,,,35477,,W,Grunge.com
307,gucmakale.com,,,FN,M,,,983355,,,Gucmakale
308,gulagbound.com,,,CP,L,,,2485234,,,Gulag Bound
309,gulfnews.com,,,FN,M,,,1956,,,Gulf News
310,halturnerradioshow.com,,,,,,1,91611,,W,Hal Turner Radio Show
311,hangthebankers.com,,,FN,L,,,596098,,,Hang The Bankers
312,hannity.com,,,FN,L,,,69187,,W,Sean Hannity
313,hardnews.network,,,FN,M,,,5309912,,,Hard News
314,headtopics.com,,,FN,M,,,27008,,,Head Topics
315,healingfoodreference.com,,,CP,VL,,,2981377,,,Healing Food Reference
316,healingoracle.ch,,,CP,VL,,,1132882,,,Healing Oracle
317,health.news,,,CP,VL,,,957767,,W,Health.News
318,healthimpactnews.com,,,CP,L,,,184109,,,Health Impact News
319,healthnutnews.com,,,CP,VL,,,85465,,,Health Nut News
320,healthranger.com,,,CP,VL,,,2517608,,,The Health Ranger
321,healthrangerreport.com,,,CP,VL,,,20000000,,W,Health Ranger Report
322,healthy-holistic-living.com,,,CP,L,,,61516,,,Healthy Holistic Living
323,healthyandnaturalworld.com,,,CP,M,,,20000000,,,Healthy and Natural World
324,healthyfoodhouse.com,,,CP,L,,,41171,,,Healthy Food House
325,heartland.org,,,FN,L,,,314281,,W,Heartland Institute
326,heightpost.com,,,,,some-fake,,5380203,,,Heightpost
327,hellochristian.com,,,CP,M,,,764264,,,Hello Christian
328,herb.co,,,CP,M,,,88711,,,Herb
329,herbreference.com,,,CP,VL,,,4217904,,,Herbreference.com
330,higherperspectives.com,,,CP,M,some-fake,,54574,,,Higher Perspective
331,hoggwatch.com,,,FN,L,,,3451464,,W,Hogg Watch
332,home.nra.org,,,FN,M,,,92522,,W,National Rifle Association
333,hotglobalnews.com,1,,,,,,20000000,,,westchester county ny pest control
334,hsionline.com,,,CP,L,,,648601,,,Health Sciences Institute
335,humansarefree.com,,,CP,L,,,96003,,,Humans are Free
336,huntsvilleleader.com,,,FN,M,,,20000000,,,Huntsville Leader
337,huzlers.com,1,,S,,parody,1,119984,,W,Huzlers
338,iceagenow.info,,,CP,L,,,434235,,,Ice Age Now
339,icr.org,,,CP,VL,,,114323,,,Institute for Creation Research (IRC)
340,iflscience.com,,,CP,M,,,18089,,,IFL Science
341,ifyouonlynews.com,,,FN,VL,,,1975929,,,If You Only News
342,iharare.com,,,FN,M,,,20000000,,,iHarare
343,ihatethemedia.com,,,FN,L,,,1238104,,,I Hate the Media
344,ihealthtube.com,,,CP,L,,,804636,,,iHealthtube.com
345,iheartintelligence.com,,,CP,M,,,10386,,,I Heart Intelligence
346,ihr.org,,,FN,VL,,,335362,,W,Institute for Historical Review (IHR)
347,ihypocrite.net,,,FN,M,,,5903604,,,"I, Hypocrite"
348,illegalaliencrimereport.com,,,FN,M,,,2931970,,,Illegal Alien Crime Report
349,illicitinfo.com,,,FN,L,,,269313,,,Illicit Info
350,illuminati-news.com,,,CP,L,,,923580,,,Illuminati News
351,illuminatiwatcher.com,,,CP,L,,,544983,,,Illuminati Watcher
352,ilovemyfreedom.org,,,FN,VL,,,61855,,,I love my Freedom
353,imowired.com,,,FN,VL,,,4144569,,,IMOwired
354,independentminute.com,,,,,some-fake,,329671,,,Independent Minute
355,independentsciencenews.org,,,CP,M,,,1587315,,W,Independent Science News
356,independentsentinel.com,,,FN,M,,,32468,,,Independent Sentinel
357,indiatimes.com,,,RC,M,some-fake,,214,,,Indiatimes
358,infiniteunknown.net,,,CP,L,,,549776,,,Infinite Unknown
359,infogalactic.com,,,FN,L,,,107104,,W,InfoGalactic
360,informationclearinghouse.info,,,CP,M,,,51166,,,Information Clearing House
361,informationliberation.com,,,FN,L,,,92020,,,Information Liberation
362,inforos.ru,,,FN,L,,,564067,,,InfoRos.ru
363,infoscum.com,,,FN,M,,,20000000,,,InfoScum
364,infowars.com,,1,CP,VL,,1,4158,,W,Infowars
365,ingredients.news,,,CP,VL,,,9416739,,W,Ingredients.News
366,innerstrength.zone,,,FN,M,,,137635,,,Inner Strength Zone -
367,intellihub.com,,,CP,L,,,151112,,,Intellihub
368,investmentwatchblog.com,,,CP,M,,,48592,,,Investment Watch Blog
369,iowaclimate.org,,,CP,L,,,5736613,,,Iowa Climate Science Education
370,israelislamandendtimes.com,,,CP,M,,,827742,,,"Israel, Islam and End Times"
371,jeffersonreporter.com,,,FN,M,,,20000000,,,Jefferson Reporter
372,jesus-is-savior.com,,,CP,L,,,125795,,,Jesus is Savior
373,jesusdaily.com,,,CP,L,,,445389,,,Jesus Daily
374,joebiden.news,,,CP,VL,,,3704017,,,Joe Biden News
375,judicialwatch.org,,,FN,L,,,52168,,W,Judicial Watch
376,judithcurry.com,,,CP,M,,,376765,,,Climate Etc
377,junkscience.com,,,CP,L,,,671381,,,JunkScience.com
378,justthefacts.org,,,FN,M,,,6463472,,,Just the Facts
379,knowledgeoftoday.org,,,CP,L,,,1231221,,,Knowledge of Today
380,krbcnews.com,1,,,,,,20000000,,,KRBC News
381,kupr7.com,1,,,,,,20000000,,,持っていると仕事に役立つ？
382,ladiesofliberty.net,1,,S,,,,20000000,,,Ladies of Liberty
383,lancastercourier.com,,,FN,M,,,404514,,,Lancaster Courier
384,larouchepac.com,,,CP,L,,,151717,,W,LaRouche PAC
385,latitudes.org,,,CP,M,,,689648,,,ACN Latitudes
386,lawenforcementtoday.com,,,R,M,,1,57080,,W,Law Enforcement Today
387,learntherisk.org,,,CP,VL,,,1015206,,W,LearnTheRisk.org
388,leftaction.com,,,FN,L,,,2899350,,,Left Action
389,leftcult.com,,,CP,VL,,,3357840,,,LeftCult
390,leftexposed.org,,,FN,L,,,2647658,,,Left Exposed
391,legitgov.org,,,CP,M,,,2155919,,,Citizens for Legitimate Government
392,lewrockwell.com,,,FN,M,,,43237,,W,Lew Rockwell
393,liberty.news,,,CP,VL,,,3754007,,W,Liberty.News
394,libertybell.com,,,FN,L,,,20000000,,,Liberty Bell
395,libertyhangout.org,,,R,L,,,671279,,W,Liberty Hangout
396,libertytalk.fm,,,FN,M,,,3602893,,,Liberty Talk.fm
397,libertyvideos.org,,,CP,L,,,16953997,,,Liberty Videos
398,libtards.news,,,CP,VL,,,8087318,,W,Libtards.News
399,lifespa.com,,,CP,L,,,108758,,,LifeSpa
400,liveaction.org,,,CP,M,,,96565,,,Live Action
401,livestrong.com,,,CP,M,,,2079,,,Livestrong.com
402,livingwhole.org,,,CP,M,,,1316034,,,Living Whole
403,londonwebnews.com,,1,FN,L,some-fake,,9122758,,,London Web News
404,loonwatch.com,,,FN,L,,,3630876,,,LoonWatch
405,lucianne.com,,,FN,M,,,47344,,W,Lucianne.com
406,madworldnews.com,,,FN,L,fake-news,,154163,,,Mad World News
407,magadailyreport.com,,,FN,M,,,708860,,,MAGA Daily Report
408,magapill.com,,,FN,M,,,559773,,,MagaPill
409,mainerepublicemailalert.com,,1,,,,,937664,,,Maine Republic Email Alert
410,mediafactwatch.com,,,CP,M,,,15306721,,W,Media Fact Watch
411,mediaroots.org,,,CP,M,,,1148796,,W,Media Roots
412,medicalmedium.com,,,CP,L,,,87680,,W,Medical Medium
413,medicine.news,,,CP,L,,,5074305,,W,Medicine News
